partId,quantity
407026,5
4558954,2
300426,2
306926,2
306826,5
4560182,3
302326,8
371026,2
302226,4
302126,5
4278359,4
265326,2
6074033,2
368026,2
486526,3
4560179,3
371021,1
306221,8
614121,9
4560181,1
614124,1
4558955,3
4211085,1
4210875,1
4210635,6
4211053,2
4560184,2
4211095,2
4211063,1
4211119,4
4543086,8
4211056,3
4210998,3
4210678,2
4211094,4
4211043,2
4211002,4
4211114,2
4210631,4
4211000,9
6004990,14
4211388,3
4211392,3
4211549,8
4211413,2
4560183,7
6014617,1
4211398,1
4515369,2
4211568,8
4211445,2
4211438,1
4535738,2
4211397,8
4211395,1
4211452,3
4211837,1
4211515,6
4619636,6
614101,1
